INSTRUCTION DIVISION
TIMETABLE SECOND SEMESTER 2016-2017
"January 12, 2017"
II. COURSEWISE TIMETABLE,,,,,,2,,SECOND SEMESTER 2016-2017,,,,






,,,,,,Paritosh Shukla,,,,,,
,,,,,2,Bharti Khungar,3103,T Th,7 8 9,,,
,,,,,,B Pallavi,,,,,,
,,,,,,Devesh S Agarwal,,,,,,
,,,,,,Hitesh Kumar Saini,,,,,,
,,,,,,Khima Pande,,,,,,
,,,,,,S M Abdul Shakoor,,,,,,
,,,,,,Vaishali,,,,,,
,,,,,,Venkataramana P O,,,,,,
1556,CHEM F243,ORGANIC CHEMISTRY II,3,-,3,1,ANIL KUMAR,3245,T Th S,4,09/05,FN
,,Tutorial,,,,Pinku,3245,W,1,,,
1557,CHEM F244,PHYSICAL CHEMISTRY III,3,-,3,1,SHAMIK CHAKRABORTY,3245,M W F,3,11/05,FN
,,Tutorial,,,,Bijoya Das,3245,T,1,,,
1654,CHEM F266,STUDY PROJECT,-,-,3,1,BHARTI KHUNGAR,,,,,
1570,CHEM F323,BIOPHYSICAL CHEMISTRY,3,-,3,1,AJAY KUMAR SAH,3249,M W F,3,11/05,FN
1583,CHEM F333,CHEMISTRY OF MATERIALS,3,-,3,1,BIBHAS RANJAN SARKAR,3252,M W F,3,11/05,FN
1586,CHEM F336,NANOCHEMISTRY,3,1,4,1,SUROJIT PANDE,3252,M W F,2,16/05,FN
1561,CHEM F341,CHEMICAL EXPER II,-,4,4,1,SUROJIT PANDE,3103,M W,7 8 9,,
,,,,,,Bibhas Ranjan Sarkar,,,,,,
,,,,,,Fayaz Baig,,,,,,
,,,,,,Inamur R Laskar,,,,,,
,,,,,,Moyna Das,,,,,,
,,,,,,Prashant U Manohar,,,,,,
II. COURSEWISE TIMETABLE,,,,,,13,,SECOND SEMESTER 2016-2017,,,,






,,,,,,Saumi Ray,,,,,,
,,,,,,Shamik Chakraborty,,,,,,
,,,,,2,Subit Kumar Saha,3105,M W,7 8 9,,,
,,,,,,Aabid Hamid,,,,,,
,,,,,,Dinesh Kumar,,,,,,
,,,,,,Roshan Nazir,,,,,,
,,,,,,Sachin Choudhary,,,,,,
,,,,,,Sheik Saleem Pasha,,,,,,
,,,,,,Sonam Sharma,,,,,,
,,,,,,Sunita Kumari,,,,,,
1562,CHEM F342,ORGANIC CHEMISTRY IV,3,-,3,1,DALIP KUMAR,3246,M W F,5,03/05,FN
,,,,,,Paritosh Shukla,,,,,,
,,Tutorial,,,,Paritosh Shukla,3246,S,1,,,
,,,,,,Dalip Kumar,,,,,,
1563,CHEM F343,INORGANIC CHEMISTRY III,3,-,3,1,SAUMI RAY,3246,T Th S,5,12/05,FN
,,Tutorial,,,,Sushila Kumari,3246,F,1,,,
1669,CHEM F366,LABORATORY PROJECT,-,-,3,1,BHARTI KHUNGAR,,,,,
1739,CHEM F367,LABORATORY PROJECT,-,-,3,1,BHARTI KHUNGAR,,,,,
1688,CHEM F376,DESIGN PROJECT,-,-,3,1,BHARTI KHUNGAR,,,,,
1755,CHEM F377,DESIGN PROJECT,-,-,3,1,BHARTI KHUNGAR,,,,,
1573,CHEM F412,PHOTOCHEM & LASER SPECTR,3,-,3,1,SUBIT KUMAR SAHA,3252,T Th S,3,13/05,FN
1576,CHEM F413,ELEC COREL IN ATOM & MOL,3,1,4,1,RAMKINKAR ROY,3246,T Th S,3,13/05,FN
1581,CHEM F415,FRONTIERS IN ORGANIC SYN,3,-,3,1,RAJEEV SAKHUJA,3246,T Th S,2,04/05,FN
1713,CHEM F491,SPECIAL PROJECT,-,-,3,1,BHARTI KHUNGAR,,,,,
7,CHEM G552,ADV INORGANIC CHEMISTRY,-,-,5,1,INAMUR R LASKAR,3160,T Th S,3,03/05,AN
242,CHEM G554,PHY METHODS IN CHEMISTRY,-,-,5,1,S C SIVASUBRAMANIAN,3160,M W F,3,05/05,AN
,,,,,,Rajinder Shivran,,,,,,
II. COURSEWISE TIMETABLE,,,,,,14,,SECOND SEMESTER 2016-2017,,,,






1008,CS F111,COMPUTER PROGRAMMING,3,1,4,1,VISHAL GUPTA,5102,M F,2,08/05,AN
,,,,,2,Virendra S Shekhawat,5105,M F,2,,,
,,,,,3,Sundaresan Raman,5101,T Th,7,,,
,,,,,4,Amit Dua,5102,T Th,9,,,
,,Practical,,,1,Kuldeep Kumar,6114,T,1 2,,,
,,,,,2,Chandramani Chaudhary,6016,T,1 2,,,
,,,,,3,Sonal Kumari,6016,T,3 4,,,
,,,,,4,Rachit Phartiyal,6114,T,3 4,,,
,,,,,5,Naik Yogini Vijay,6114,T,6 7,,,
,,,,,6,Kirti Singh Rathore,6116,T,6 7,,,
